#SampleID	kingdom	phylum	class	order	family	genus	species	strain
10317.000101098	0	0	0	1	0	13	3478	115
10317.000101104	0	0	0	0	0	8	1433	33
10317.000101105	0	0	0	3	0	20	2879	141
10317.000101109	0	0	1	38	0	6	2858	159
10317.000101112	0	2	0	0	0	574	589	1109
10317.000101116	0	0	0	4	0	50	1000	329
10317.000101132	1	0	0	0	0	12	3695	95
10317.000101136	0	0	0	4	0	6	2377	75
10317.000101140	0	0	0	9	2	85	3068	263
10317.000101150	0	0	0	6	0	9	1980	204
10317.000101179	0	1	0	1	1	29	2616	1371
10317.000101200	0	0	1	45	22	23	973	859
10317.000101213	0	0	4	9	0	55	842	1634
10317.000101226	13	0	1	20	2	56	2089	560
10317.000101237	5	0	6	101	6	5	2916	1108
10317.000101239	0	0	0	6	4	7	202	73
10317.000101250	1	0	5	34	70	102	2061	2039
10317.000101262	3	3	20	44	15	1134	1716	182
10317.000101273	2	2	3	7	10	37	1380	338
10317.000101382	0	0	0	22	11	90	1100	301
10317.000001524	8	0	4	9	62	71	2376	748
10317.000012185	0	0	0	821	4	54	2781	351
10317.000021969	0	0	0	1	0	12	3563	72
10317.000022036	0	3	7	63	0	49	1782	539
10317.000022342	26	0	0	44	9	79	3238	512
10317.000022343	35	0	0	484	7	6	2138	485
10317.000023681	0	0	0	0	0	0	4425	3
10317.000023779	4	0	4	44	83	48	2752	1182
10317.000029399	0	17	1	28	23	43	3170	1124
10317.000032746	8	0	1	25	4	44	2689	1044
10317.000032817	3	1	2	29	2	92	3049	1628
10317.000039907	1	0	0	60	7	76	3390	386
10317.000040025	0	0	0	10	286	24	2074	283
10317.000040323	1	0	0	6	0	70	1754	1028
10317.000067462	2	8	3	34	4	35	2511	1053
10317.000067514	0	3	0	24	10	38	3341	329
10317.000067519	2	0	1	29	7	242	2082	896
10317.000067672	0	0	0	2	1	160	2928	1703
10317.000067700	2	0	2	52	8	89	3487	1208
10317.000067934	0	4	35	62	13	60	3343	1274
10317.000067945	1	0	6	27	7	266	2871	689
10317.000067959	0	0	3	12	2	1424	2153	1767
10317.000068014	0	1	0	6	0	159	1208	374
10317.000068257	1	0	9	84	19	43	3335	1074
10317.000069025	0	0	3	27	7	358	2764	658
10317.000022413	2	2	0	18	565	226	4816	1406
10317.000023731	0	0	0	2	1	32	2182	583
10317.000023747	0	4	3	25	24	31	3432	1474
10317.000023974	0	0	4	39	25	171	3671	1114
10317.000030364	2	0	0	9	12	173	1998	195
10317.000033078	0	0	0	57	7	45	3954	854
10317.000037504	0	0	0	0	124	2	1220	42
10317.000038076	0	19	0	37	9	49	4072	634
10317.000042006	7	0	8	89	0	18	3463	631
10317.000042969	2	0	14	28	2	289	3444	1363
10317.000043003	1	0	15	58	1	130	3255	1996
10317.000049007	0	1	1	165	0	40	2824	1192
10317.000049977	0	0	3	85	28	51	2054	529
10317.000049986	1	2	3	6	13	229	3342	1116
10317.000050281	0	0	1	114	8	87	3030	1253
10317.000051078	0	0	0	13	0	211	3742	725
10317.000051108	8	2	7	96	1	228	4384	705
10317.000051183	5	0	1	1	1	79	1055	1270
10317.000052070	0	0	1	5	0	109	1091	501
10317.000052476	0	0	1	2	1	692	3814	1188
10317.000059984	0	0	8	110	1	11	3233	2294
10317.000063174	7	0	3	67	5	134	4276	590
10317.000079083	0	0	1	18	6	5	3591	675
10317.000089338	1	4	1	5	1	307	1315	1255
10317.000094704	2	0	2	11	0	123	919	761
